 1.99526231e+03  4.00000000e-01  4.33680869e-19  1.99526231e+03  4.00003549e-01  5.95718226e-04  1.99526231e+03  3.99997634e-01 -5.95729971e-04 
 2.51188643e+03  4.00000000e-01  0.00000000e+00  2.51188643e+03  4.00005625e-01  7.49949245e-04  2.51188643e+03  3.99996250e-01 -7.49972680e-04 
 3.16227766e+03  4.00000000e-01  0.00000000e+00  3.16227766e+03  4.00008914e-01  9.44099104e-04  3.16227766e+03  3.99994057e-01 -9.44145860e-04 
 3.98107171e+03  4.00000000e-01  8.67361738e-19  3.98107171e+03  4.00014127e-01  1.18848839e-03  3.98107171e+03  3.99990581e-01 -1.18858167e-03 
 5.01187234e+03  4.00000000e-01  8.67361738e-19  5.01187234e+03  4.00022388e-01  1.49609461e-03  5.01187234e+03  3.99985073e-01 -1.49628072e-03 
 6.30957344e+03  4.00000000e-01  1.73472348e-18  6.30957344e+03  4.00035478e-01  1.88322493e-03  6.30957344e+03  3.99976343e-01 -1.88359618e-03 
 7.94328235e+03  4.00000000e-01  1.73472348e-18  7.94328235e+03  4.00056217e-01  2.37034785e-03  7.94328235e+03  3.99962510e-01 -2.37108838e-03 
 1.00000000e+04  4.00000000e-01  5.20417043e-18  1.00000000e+04  4.00089069e-01  2.98311027e-03  1.00000000e+04  3.99940591e-01 -2.98458712e-03 
 1.25892541e+04  4.00000000e-01  3.46944695e-18  1.25892541e+04  4.00141091e-01  3.75355788e-03  1.25892541e+04  3.99905866e-01 -3.75650237e-03 
 1.58489319e+04  4.00000000e-01  0.00000000e+00  1.58489319e+04  4.00223430e-01  4.72155302e-03  1.58489319e+04  3.99850862e-01 -4.72742106e-03 
 1.99526231e+04  4.00000000e-01  3.46944695e-18  1.99526231e+04  4.00353650e-01  5.93632534e-03  1.99526231e+04  3.99763769e-01 -5.94801154e-03 
 2.51188643e+04  4.00000000e-01  6.93889390e-18  2.51188643e+04  4.00559341e-01  7.45796420e-03  2.51188643e+04  3.99625944e-01 -7.48121169e-03 
 3.16227766e+04  4.00000000e-01  6.93889390e-18  3.16227766e+04  4.00883605e-01  9.35840419e-03  3.16227766e+04  3.99408024e-01 -9.40457044e-03 
 3.98107171e+04  4.00000000e-01  0.00000000e+00  3.98107171e+04  4.01393219e-01  1.17209573e-02  3.98107171e+04  3.99063942e-01 -1.18123864e-02 
 5.01187234e+04  4.00000000e-01  6.93889390e-18  5.01187234e+04  4.02190255e-01  1.46365401e-02  5.01187234e+04  3.98521844e-01 -1.48168325e-02 
 6.30957344e+04  4.00000000e-01  1.38777878e-17  6.30957344e+04  4.03427413e-01  1.81932449e-02  6.30957344e+04  3.97670705e-01 -1.85463901e-02 
 7.94328235e+04  4.00000000e-01  1.38777878e-17  7.94328235e+04  4.05325329e-01  2.24538133e-02  7.94328235e+04  3.96341545e-01 -2.31383655e-02 
 1.00000000e+05  4.00000000e-01  1.38777878e-17  1.00000000e+05  4.08185131e-01  2.74138051e-02  1.00000000e+05  3.94283291e-01 -2.87197781e-02 
 1.25892541e+05  4.00000000e-01  2.77555756e-17  1.25892541e+05  4.12379880e-01  3.29351877e-02  1.25892541e+05  3.91137188e-01 -3.53676742e-02 
